2024-04-29 10:22:51: == 同步开始由 User Command
2024-04-29 10:22:51: 创建文件夹 Z:/E/web/hexo/public/categories/Linux/page/3
- 错误: Cannot create folder: 找不到路径。  (error 3)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2006/04/24/informal1/index.html' -> 'Z:/E/web/hexo/public/2006/04/24/informal1/index.html' (96,553) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2007/02/04/I-don't-know/index.html' -> 'Z:/E/web/hexo/public/2007/02/04/I-don't-know/index.html' (96,030) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2007/02/04/miss-autumn/index.html' -> 'Z:/E/web/hexo/public/2007/02/04/miss-autumn/index.html' (95,656) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2008/01/12/to-mylove/index.html' -> 'Z:/E/web/hexo/public/2008/01/12/to-mylove/index.html' (96,229) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2008/02/12/life-like-travel/index.html' -> 'Z:/E/web/hexo/public/2008/02/12/life-like-travel/index.html' (96,264) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2009/11/11/test-access/index.html' -> 'Z:/E/web/hexo/public/2009/11/11/test-access/index.html' (97,849) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2011/11/11/find-four-peple/index.html' -> 'Z:/E/web/hexo/public/2011/11/11/find-four-peple/index.html' (99,703) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2020/06/17/markdown-usage/index.html' -> 'Z:/E/web/hexo/public/2020/06/17/markdown-usage/index.html' (109,217) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2020/06/17/one/index.html' -> 'Z:/E/web/hexo/public/2020/06/17/one/index.html' (95,552) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2020/06/17/restart-blog/index.html' -> 'Z:/E/web/hexo/public/2020/06/17/restart-blog/index.html' (97,899) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2020/06/18/python-exercise/index.html' -> 'Z:/E/web/hexo/public/2020/06/18/python-exercise/index.html' (116,887) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2020/06/19/user-agent/index.html' -> 'Z:/E/web/hexo/public/2020/06/19/user-agent/index.html' (100,925) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2020/06/21/codingbat-warmup/index.html' -> 'Z:/E/web/hexo/public/2020/06/21/codingbat-warmup/index.html' (117,226) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2020/07/01/codingbat-string/index.html' -> 'Z:/E/web/hexo/public/2020/07/01/codingbat-string/index.html' (102,510) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2020/07/01/to-latter-half-year/index.html' -> 'Z:/E/web/hexo/public/2020/07/01/to-latter-half-year/index.html' (98,116) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2020/07/05/coding-logic/index.html' -> 'Z:/E/web/hexo/public/2020/07/05/coding-logic/index.html' (118,940) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2020/07/28/soft-Keys/index.html' -> 'Z:/E/web/hexo/public/2020/07/28/soft-Keys/index.html' (116,898) (User Action)
2024-04-29 10:22:51: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2020/11/05/to-2021/index.html' -> 'Z:/E/web/hexo/public/2020/11/05/to-2021/index.html' (97,537) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2020/11/26/love-live/index.html' -> 'Z:/E/web/hexo/public/2020/11/26/love-live/index.html' (95,762) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/01/01/study-linux/index.html' -> 'Z:/E/web/hexo/public/2021/01/01/study-linux/index.html' (194,025) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/01/26/tlbb/index.html' -> 'Z:/E/web/hexo/public/2021/01/26/tlbb/index.html' (100,790) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/02/26/tllist/index.html' -> 'Z:/E/web/hexo/public/2021/02/26/tllist/index.html' (96,920) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/03/03/3-hexo-used/index.html' -> 'Z:/E/web/hexo/public/2021/03/03/3-hexo-used/index.html' (112,962) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/03/09/hexo-create-blog/index.html' -> 'Z:/E/web/hexo/public/2021/03/09/hexo-create-blog/index.html' (123,540) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/03/11/git-err/index.html' -> 'Z:/E/web/hexo/public/2021/03/11/git-err/index.html' (101,696) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/03/11/tlbb-server-settings/index.html' -> 'Z:/E/web/hexo/public/2021/03/11/tlbb-server-settings/index.html' (113,336) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/03/11/tlbb-teach/index.html' -> 'Z:/E/web/hexo/public/2021/03/11/tlbb-teach/index.html' (102,898) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/03/15/regex/index.html' -> 'Z:/E/web/hexo/public/2021/03/15/regex/index.html' (129,007)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/03/15/regular/index.html' -> 'Z:/E/web/hexo/public/2021/03/15/regular/index.html' (128,777) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/03/12/2000games-source/index.html' -> 'Z:/E/web/hexo/public/2021/03/12/2000games-source/index.html' (672,921) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/03/15/win-linux-share/index.html' -> 'Z:/E/web/hexo/public/2021/03/15/win-linux-share/index.html' (106,605)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/03/18/aria2-linux/index.html' -> 'Z:/E/web/hexo/public/2021/03/18/aria2-linux/index.html' (107,674) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/03/18/md-blog-grammar/index.html' -> 'Z:/E/web/hexo/public/2021/03/18/md-blog-grammar/index.html' (97,641) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/03/22/pc-soft/index.html' -> 'Z:/E/web/hexo/public/2021/03/22/pc-soft/index.html' (117,345) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/10/17/net/index.html' -> 'Z:/E/web/hexo/public/2021/10/17/net/index.html' (108,279)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/11/22/linux-shell-all/index.html' -> 'Z:/E/web/hexo/public/2021/11/22/linux-shell-all/index.html' (110,312) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/11/24/merlin-router/index.html' -> 'Z:/E/web/hexo/public/2021/11/24/merlin-router/index.html' (103,233) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/11/25/openwrt-router/index.html' -> 'Z:/E/web/hexo/public/2021/11/25/openwrt-router/index.html' (115,884) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/11/26/to-2022-year/index.html' -> 'Z:/E/web/hexo/public/2021/11/26/to-2022-year/index.html' (96,810) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/12/09/linux-hexo-github-blog/index.html' -> 'Z:/E/web/hexo/public/2021/12/09/linux-hexo-github-blog/index.html' (114,767) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/12/12/download-web-video/index.html' -> 'Z:/E/web/hexo/public/2021/12/12/download-web-video/index.html' (99,905) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2021/12/19/use-frp/index.html' -> 'Z:/E/web/hexo/public/2021/12/19/use-frp/index.html' (134,853) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/01/09/mariadb-use/index.html' -> 'Z:/E/web/hexo/public/2022/01/09/mariadb-use/index.html' (121,816) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/04/13/v2ray-use/index.html' -> 'Z:/E/web/hexo/public/2022/04/13/v2ray-use/index.html' (117,832) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/05/22/linux-video-players/index.html' -> 'Z:/E/web/hexo/public/2022/05/22/linux-video-players/index.html' (120,017) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/05/27/hexo-password/index.html' -> 'Z:/E/web/hexo/public/2022/05/27/hexo-password/index.html' (104,602)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/05/31/system-down/index.html' -> 'Z:/E/web/hexo/public/2022/05/31/system-down/index.html' (111,640) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/06/05/python-def/index.html' -> 'Z:/E/web/hexo/public/2022/06/05/python-def/index.html' (96,875) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/06/09/youget-down-video/index.html' -> 'Z:/E/web/hexo/public/2022/06/09/youget-down-video/index.html' (116,907)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/06/09/youget-ytdlp-down-video/index.html' -> 'Z:/E/web/hexo/public/2022/06/09/youget-ytdlp-down-video/index.html' (180,497) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/06/10/web-reader/index.html' -> 'Z:/E/web/hexo/public/2022/06/10/web-reader/index.html' (148,088) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/06/13/use-nginx/index.html' -> 'Z:/E/web/hexo/public/2022/06/13/use-nginx/index.html' (116,190)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/06/15/docker-bitwarden/index.html' -> 'Z:/E/web/hexo/public/2022/06/15/docker-bitwarden/index.html' (108,250) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/06/15/script-getdomain/index.html' -> 'Z:/E/web/hexo/public/2022/06/15/script-getdomain/index.html' (99,090) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/06/21/nat-chuantou/index.html' -> 'Z:/E/web/hexo/public/2022/06/21/nat-chuantou/index.html' (98,398) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/06/28/study-php/index.html' -> 'Z:/E/web/hexo/public/2022/06/28/study-php/index.html' (96,476) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/07/05/webdav/index.html' -> 'Z:/E/web/hexo/public/2022/07/05/webdav/index.html' (107,342) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/07/11/ubuntu-install-nginx/index.html' -> 'Z:/E/web/hexo/public/2022/07/11/ubuntu-install-nginx/index.html' (104,110) (User Action)
2024-04-29 10:22:52: 覆盖复制 'http://192.168.1.8:8081//home/livexy/hexo/public/2022/07/16/mount-webdav/index.html' -> 'Z:/E/web/hexo/public/2022/07/16/mount-webdav/index.html' (100,595) (User Action)
